award_id,agency,firm_name,firm_state,award_amount,award_date,award_year,phase,topic_code,primary_cet,primary_score,classification,supporting_cet_1,supporting_score_1,supporting_cet_2,supporting_score_2,text_length,has_abstract,has_solicitation
14257,NSF,AERODYNE RESEARCH INC,MA,50000.0,1991-07-01,1991,Other,UNKNOWN,artificial_intelligence,78.87678998454811,High,biotechnology,13.134619834063413,advanced_materials,5.2893440614155685,1048,True,False
0740454,NSF,LUNA INNOVATIONS INCORPORATED,VA,99996.0,2008-07-01,2008,Other,EL,biotechnology,81.97593570298642,High,artificial_intelligence,11.991738407695516,advanced_materials,3.479324660728785,821,True,True
0712019,NSF,EarthGenes Pharmaceuticals,MA,500000.0,2009-07-01,2009,Other,UNKNOWN,biotechnology,56.90894832841838,Medium,artificial_intelligence,36.084377646626336,advanced_materials,6.031273649752592,2008,True,False
1014124,NSF,LEVANT POWER CORPORATION,MA,180000.0,2010-07-01,2010,Other,IC,artificial_intelligence,70.98612777682952,High,biotechnology,18.338503212738168,advanced_materials,6.374774560683067,2494,True,True
2689,NSF,"SCIENTIFIC SYSTEMS COMPANY, INC.",MA,40000.0,1985-07-01,1985,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
2686,NSF,Knowledge Systems Inc.,GA,38000.0,1985-07-01,1985,Other,UNKNOWN,artificial_intelligence,85.94864653436254,High,biotechnology,7.832130234857611,data_analytics,4.098513370477954,1504,True,False
0319274,NSF,"GRIFFIN ANALYTICAL TECHNOLOGIES, INC.",IN,99588.0,2003-07-01,2003,Other,UNKNOWN,artificial_intelligence,78.11182753743365,High,biotechnology,19.27649211934405,data_analytics,1.2139865571379889,1539,True,False
9960221,NSF,Brewer Science Incorporated,MO,100000.0,2000-07-01,2000,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
21713,NSF,"TDA RESEARCH, INC.",CO,50000.0,1993-07-01,1993,Other,UNKNOWN,advanced_materials,39.06695627133237,Low,artificial_intelligence,25.232408286955433,semiconductors,24.421786998767736,1064,True,False
27482,NSF,"NVE CORP. (FORMERLY NONVOLATILE ELECTRONICS, INC.",MN,64480.0,1994-07-01,1994,Other,UNKNOWN,artificial_intelligence,69.04741643226335,Medium,advanced_materials,20.651108264525195,biotechnology,7.300870257406418,957,True,False
0712054,NSF,"Science Research Laboratory, Inc",MA,99972.0,2007-07-01,2007,Other,EL,artificial_intelligence,63.94296679971413,Medium,biotechnology,17.90888996863144,advanced_materials,14.917771190773447,2120,True,True
2697,NSF,Springborn Materials Science,CT,39000.0,1985-07-01,1985,Other,UNKNOWN,artificial_intelligence,58.510602239546294,Medium,biotechnology,22.796565803420314,advanced_materials,17.28276015744491,1493,True,False
0214696,NSF,"Nomadics, Inc.",OK,99998.0,2002-07-01,2002,Other,UNKNOWN,artificial_intelligence,65.65661049676609,Medium,biotechnology,28.886240667979862,advanced_materials,4.489803603557093,1214,True,False
0317782,NSF,VISTA CLARA INC.,WA,100000.0,2003-07-01,2003,Other,UNKNOWN,artificial_intelligence,87.22246868502043,High,biotechnology,8.246148707281666,data_analytics,2.0489897372222883,1636,True,False
0810652,NSF,EVIGIA SYSTEMS LLC,MI,463803.0,2010-07-01,2010,Other,EL,artificial_intelligence,83.51101084035238,High,biotechnology,10.46249015519331,data_analytics,2.765877752439865,488,True,True
0912730,NSF,Fiji Systems LLC,IN,100000.0,2009-07-01,2009,Other,SS,artificial_intelligence,91.60561876770018,High,data_analytics,4.7142743277207595,biotechnology,1.856622855497918,1331,True,True
43641,NSF,"Science Research Laboratory, Inc",MA,99876.0,1999-07-01,1999,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
0339236,NSF,"MEMX, Inc.",CA,96901.0,2004-07-01,2004,Other,UNKNOWN,artificial_intelligence,55.728583363344576,Medium,semiconductors,36.253563203968326,biotechnology,3.953841461658107,2525,True,False
9860907,NSF,BEACON POWER CORP.,MA,98793.0,1999-07-01,1999,Other,UNKNOWN,artificial_intelligence,77.11215080307728,High,biotechnology,19.486558640542352,advanced_materials,1.754299765132379,108,True,False
0060598,NSF,"POLYMER CHEMISTRY INNOVATIONS, INC",AZ,85125.0,2001-07-01,2001,Other,UNKNOWN,biotechnology,43.54821765805397,Medium,advanced_materials,35.56207898646542,artificial_intelligence,19.610005118881247,1217,True,False
0441379,NSF,Audiopack,OH,99859.0,2005-07-01,2005,Other,UNKNOWN,artificial_intelligence,82.96270306244789,High,biotechnology,9.516732843073424,data_analytics,3.697752513253632,2228,True,False
0945905,NSF,BLW,OK,148796.0,2010-07-01,2010,Other,IC,artificial_intelligence,80.5912110420383,High,biotechnology,13.065467214178609,advanced_materials,2.929936674302708,2032,True,True
0740266,NSF,"COOLSPINE, LLC",CT,499952.0,2009-07-01,2009,Other,UNKNOWN,artificial_intelligence,63.80123178150702,Medium,biotechnology,33.67661164704952,data_analytics,1.1364632474267995,2812,True,False
0610692,NSF,"DYNAMET TECHNOLOGY, INC.",MA,500000.0,2007-07-01,2007,Other,BT,biotechnology,64.44603543549576,Medium,advanced_materials,19.711515923843578,artificial_intelligence,14.91575818318652,1934,True,True
10628,NSF,"ELECTROSYNTHESIS CO., INC.",NY,50000.0,1989-07-01,1989,Other,UNKNOWN,artificial_intelligence,51.89988157692183,Medium,biotechnology,40.35433158335237,advanced_materials,5.705795778298045,1010,True,False
14420,NSF,Top Level Inc,MA,48800.0,1991-07-01,1991,Other,UNKNOWN,artificial_intelligence,89.0721086710188,High,biotechnology,6.674230896835827,data_analytics,1.739327153564504,1598,True,False
